604	Cill Dairbhre	Kildorrery
605	Cill Fachna Bheag	Kilfaughnabeg
606	An Chill Gharbh	Kilgarriff
607	Cill Ghalláin	Kilgullane
608	Cill Chiaráin Mhór	Kilkerranmore
609	Cill Eacha Naoineach	Killaconenagh
610	Cill an Eallaigh	Killanully
612	Cill Easpaig Mhealláin	Killaspugmullane
613	Cill Aichidh	Killathy
614	Cill Ia	Killeagh
615	Cill Eoghain	Killowen
616	Cill Macaibí	Kilmacabea
617	Cill Modhomhnóg	Kilmacdonogh
618	Cill Mhaithín	Kilmahon
619	Cill Mhín	Kilmeen
620	Cill Mhichíl	Kilmichael
621	Cill Mochomóg	Kilmocomoge
622	Cill Mua	Kilmoe
623	Cill Mhóna	Kilmoney
624	Cill Mosheanóg	Kilmonoge
625	Cill Muire	Kilmurry
626	Cill na Gluaire	Kilnaglory
627	Cill na gCros	Kilnagross
628	Cill na Manach	Kilnamanagh
629	Cill na Martra	Kilnamartery
630	Cill Phádraig	Kilpatrick
631	Cill Fhaoláin	Kilphelan
632	Cill Chuáin	Kilquane
633	Cill Ruáin	Kilroan
634	An Chill Rua	Kilroe
635	Cill Seancháin	Kilshanahan
636	Cill Seanaigh	Kilshannig
637	Cill Saileach	Kilsillagh
638	Cill Uird	Kilworth
639	Cinn Eich	Kinneigh
640	Cionn Iúir	Kinure
641	Cnoc an Bhile	Knockavilly
642	Cnoc Muirne	Knockmourne
643	Cnoc an Teampaill	Knocktemple
644	Liafuine	Leighmoney
645	Liatroim	Leitrim
646	Lios Cléirigh	Liscleary
647	Lios Cúil	Lisgoold
648	Lios Lao	Lislee
649	Lios Mór agus Maigh Cholpa	Lismore and Mocollop
650	Leitir	Litter
651	An tOileán Beag	Little Island
652	Maigh Chróine	Macroney
653	Maigh Guairne	Magourney
654	Mala	Mallow
655	Cill Mhuire Ó Maoláin	Marmullane
656	Baile an Mharascalaigh	Marshalstown
657	Maigh Teichigh	Matehy
658	Mainistir na Corann	Middleton
659	Maigh Dhíle	Mogeely
660	Maigh Aisí	Mogeesha
661	Móin Ainmne	Monanimy
662	Baile an Mhanaigh	Monkstown
663	Mainistir na Móna	Mourneabbey
664	Maigh Mhide	Moviddy
665	Míros	Myross
666	Nuachabháil	Nohaval
667	Nuachabháil Uí Dhálaigh	Nohavaldaly
668	Raithean	Rahan
669	Ráth an Bharraigh	Rathbarry
670	Ráth Chláirín	Rathclarin
671	Ráth Chuanna	Rathcooney
672	Ráth Chormaic	Rathcormack
673	Ráth an Ghogánaigh	Rathgoggan
674	Rinn Chorráin	Ringcurran
675	Rinn Róin	Ringrone
676	Ros Caoin	Rosskeen
677	Ros	Ross
678	Ros Tialláin	Rostellan
679	An Scoil	Skull
680	Paróiste Mhichíl	St. Michael's
681	Sobaltair	Subulter
682	Teampall Buadáin	Templebodan
683	Teampall Bríde	Templebreedy
684	Teampall Brianaid	Templebryan
685	Teampall Mártan	Templemartin
686	Teampall Mhichíl	Templemichael
687	Teampall Molaga	Templemolaga
688	Teampall na Carraige	Templenacarriga
689	Teampall Ó gCaoinleáin	Templequinlan
690	Teampall Ruáin	Templeroan
691	Teampall Roibín	Templerobin
692	Teampall Trín	Templetrine
693	Teampall Loiscthe	Templeusque
694	Tigh Molaige	Timoleague
695	Tigh an tSeiscinn	Titeskin
